pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.1_intuitive,1.2_faster,1.3_detailed,1.4_simpler,2.1_intuitive,2.2_faster,2.3_detailed,2.4_simpler,3.1_intuitive,3.2_faster,3.3_detailed,3.4_simpler,4.1_intuitive,4.2_faster,4.3_detailed,4.4_simpler,5.1_intuitive,5.2_faster,5.3_detailed,5.4_simpler,6.1_intuitive,6.2_faster,6.3_detailed,6.4_simpler,7.1_intuitive,7.2_faster,7.3_detailed,7.4_simpler,8.1_intuitive,8.2_faster,8.3_detailed,8.4_simpler,9.1_intuitive,9.2_faster,9.3_detailed,9.4_simpler,10.1_intuitive,10.2_faster,10.3_detailed,10.4_simpler,11.1_intuitive,11.2_faster,11.3_detailed,11.4_simpler
P48,Yes,25–34,Male,4 - 6 years,"Web Development, Mobile Development, Machine Learning/AI","Java, Python, JavaScript/TypeScript, PHP",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P49,Yes,25–34,Male,More than 10 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript",Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P50,Yes,25–34,Male,1 - 3 years,Web Development,"Python, JavaScript/TypeScript, C#",No,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P51,Yes,18–24,Male,4 - 6 years,Web Development,Dart,Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P52,Yes,45–54,Male,7 - 10 years,Web Development,"Java, Python",Yes,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P53,Yes,35–44,Male,More than 10 years,Mobile Development,"Java, JavaScript/TypeScript, Kotlin, Swift",Yes,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P54,Yes,35–44,Male,More than 10 years,Web Development,"Python, C#","I've heard about it, but I've never used it.",MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL
P55,Yes,35–44,Male,7 - 10 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P56,Yes,45–54,Male,More than 10 years,"Web Development, Data Science/Analytics, Machine Learning/AI","Java, Python",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P57,Yes,35–44,Male,1 - 3 years,Web Development,"Python, JavaScript/TypeScript",Yes,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P58,Yes,25–34,Male,More than 10 years,"Web Development, DevOps/Cloud Computing","Java, Kotlin, Go","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL
P59,Yes,35–44,Female,7 - 10 years,"Web Development, Data Science/Analytics",Java,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P60,Yes,25–34,Male,4 - 6 years,Web Development,"Python, JavaScript/TypeScript, C/C++, Go",Yes,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP
P61,Yes,35–44,Male,7 - 10 years,Web Development,Java,Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P62,Yes,55–64,Male,More than 10 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript, Cobol, Natural, Delphi",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL
P63,Yes,35–44,Female,More than 10 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P64,Yes,35–44,Female,More than 10 years,"Web Development, Mobile Development","Java, Python",Yes,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P65,Yes,25–34,Male,Less than 1 year,Web Development,"Python, C#",Yes,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P66,Yes,45–54,Male,More than 10 years,"Web Development, Data Science/Analytics","JavaScript/TypeScript, C#",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P67,Yes,55–64,Male,More than 10 years,"Web Development, Mobile Development, Atualmente com foco maior na gestão de projetos e equipes de desenvolvimento de SW","Java, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P68,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics",Java,Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P69,Yes,25–34,Male,4 - 6 years,Web Development,C#,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P70,Yes,35–44,Male,Less than 1 year,Mobile Development,Java,Yes,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P71,Yes,35–44,Male,More than 10 years,Web Development,Java,Yes,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL
P72,Yes,25–34,Male,7 - 10 years,"Data Science/Analytics, DevOps/Cloud Computing, Machine Learning/AI",Python,No,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P73,Yes,35–44,Male,More than 10 years,"Web Development, Mobile Development","Java, PHP, Kotlin, Swift, Go",No,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL
P74,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics, DevOps/Cloud Computing, Machine Learning/AI","Java, Python, JavaScript/TypeScript, Dart",Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P75,Yes,45–54,Male,7 - 10 years,Web Development,"Java, PHP, SQL, PL SQL, Mysql, ",Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP
P76,Yes,25–34,Male,4 - 6 years,Web Development,Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P77,Yes,25–34,Male,More than 10 years,Backend,Java,No,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P78,Yes,25–34,Female,7 - 10 years,Data Science/Analytics,Python,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL
P79,Yes,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript, Go",Yes,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P80,Yes,45–54,Male,More than 10 years,Data Science/Analytics,"Java, JavaScript/TypeScript, C#, VB6",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P81,Yes,35–44,Male,1 - 3 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript",Yes,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P82,Yes,18–24,Male,Less than 1 year,Web Development,"Java, JavaScript/TypeScript",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P83,Yes,35–44,Male,More than 10 years,Machine Learning/AI,Python,Yes,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P84,Yes,25–34,Male,4 - 6 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P85,Yes,25–34,Male,1 - 3 years,Database,Python,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P86,Yes,35–44,Male,4 - 6 years,SDET,Python,"I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP
P87,Yes,35–44,Male,7 - 10 years,"Web Development, Mobile Development, Data Science/Analytics","Python, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P88,Yes,45–54,Male,1 - 3 years,Software Support,Java,"I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP
P89,Yes,35–44,Male,7 - 10 years,"Embedded Systems, DevOps/Cloud Computing, Cybersecurity","Python, C/C++","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P90,Yes,35–44,Male,1 - 3 years,"Embedded Systems, DevOps/Cloud Computing, Cybersecurity","Python, C/C++","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P91,Yes,35–44,Female,1 - 3 years,"Data Science/Analytics, Salesforce Platform CRM","Apex, SOQL, HTML, JS",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P92,Yes,18–24,Non-binary,Less than 1 year,"Web Development, Mobile Development","Java, JavaScript/TypeScript, PHP, Dart","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL
P93,Yes,18–24,Prefer not to say,1 - 3 years,Web Development,Java,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P94,Yes,35–44,Male,7 - 10 years,Web Development,Java,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P95,Yes,45–54,Female,4 - 6 years,"Mobile Development, Data Science/Analytics",Python,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P96,Yes,25–34,Male,4 - 6 years,"Mobile Development, Data Science/Analytics",Python,Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
